date,T_moyenne
2024-01-01,5.12
2024-01-02,6.76
2024-01-03,9.15
2024-01-04,7.37
2024-01-05,6.75
2024-01-06,4.77
2024-01-07,3.41
2024-01-08,-0.02
2024-01-09,-0.60
2024-01-10,0.25
2024-01-11,-0.07
2024-01-12,-1.12
2024-01-13,-1.88
2024-01-14,-0.75
2024-01-15,1.08
2024-01-16,-0.44
2024-01-17,9.21
2024-01-18,7.07
2024-01-19,-0.96
2024-01-20,-2.78
2024-01-21,1.22
2024-01-22,4.36
2024-01-23,4.95
2024-01-24,7.18
2024-01-25,6.58
2024-01-26,8.58
2024-01-27,5.12
2024-01-28,7.70
2024-01-29,9.56
2024-01-30,7.90
2024-01-31,6.24
