,date,T_moyenne
0,2024-01-01,5.12
1,2024-01-02,6.76
2,2024-01-03,9.15
3,2024-01-04,7.37
4,2024-01-05,6.75
5,2024-01-06,4.77
6,2024-01-07,3.41
7,2024-01-08,-0.02
8,2024-01-09,-0.60
9,2024-01-10,0.25
10,2024-01-11,-0.07
11,2024-01-12,-1.12
12,2024-01-13,-1.88
13,2024-01-14,-0.75
14,2024-01-15,1.08
15,2024-01-16,-0.44
16,2024-01-17,9.21
17,2024-01-18,7.07
18,2024-01-19,-0.96
19,2024-01-20,-2.78
20,2024-01-21,1.22
21,2024-01-22,4.36
22,2024-01-23,4.95
23,2024-01-24,7.18
24,2024-01-25,6.58
25,2024-01-26,8.58
26,2024-01-27,5.12
27,2024-01-28,7.70
28,2024-01-29,9.56
29,2024-01-30,7.90
30,2024-01-31,6.24
